Time (min),No perfusion,,,,,,POA cooling,,,,,
-1440,0.24,0.27,0.25,0.2,0.42,,0.13,0.17,0.18,0.26,0.2,0.15
-10*,0.52*,0.59*,0.67*,0.65*,0.56*,,0.58*,0.68*,0.47*,1.48*,0.62*,0.81*
0,0.63,0.74,0.7,0.62,0.53,,0.97,0.62,0.46,0.92,0.71,0.81
2*,0.61*,0.78*,0.54*,0.81*,0.72*,,0.75*,0.53*,0.46*,0.64*,0.52*,0.66*
5,0.4,0.39,0.43,0.52,0.4,,0.53,0.29,0.13,0.43,0.23,0.33
8*,0.29*,0.37*,0.34*,0.33*,0.24*,,0.15*,0.07*,0.14*,0.22*,0.11*,0.17*
12,0.33,0.47,0.43,0.37,0.31,,0.14,0.2,0.07,0.28,0.07,0.29
20,0.47,0.34,0.44,0.43,0.33,,0.3,0.24,0.11,0.74,0.1,0.61
30,0.61,0.65,0.42,0.42,0.46,,0.79,0.56,0.37,0.92,0.58,0.77
60,0.61,0.52,0.68,0.55,0.59,,0.79,0.59,0.66,0.95,0.78,0.62
