Time (min),No perfusion,,,,,,POA cooling,,,,,
-1440,121,125,121,131,120,,129,120,120,123,118,106
-10,93,101,92,91,83,,104,97,100,110,117,102
0,99,109,93,86,86,,98,94,103,119,119,111
1,481,574,550,530,524,,542,474,522,566,556,591
2,510,535,472,458,454,,487,450,462,482,486,488
3,448,499,422,450,452,,421,426,375,497,466,431
4,436,484,411,427,421,,411,413,374,442,446,380
5,419,425,391,395,391,,418,409,379,400,426,413
6,391,411,379,354,370,,375,403,370,356,349,354
8,355,400,392,332,354,,336,363,331,291,316,332
10,322,355,340,329,322,,285,311,269,250,276,272
12,277,326,341,316,311,,247,286,253,204,219,213
14,264,308,313,308,270,,222,234,231,167,199,167
16,231,279,286,283,248,,182,217,207,143,160,171
18,217,280,271,267,243,,168,192,174,138,121,144
20,206,253,254,246,206,,156,173,168,141,102,131
25,173,179,226,221,185,,118,154,133,130,92,126
30,154,172,203,184,161,,108,135,112,140,111,127
40,131,137,155,154,135,,113,138,121,131,116,131
50,121,146,123,130,124,,114,112,116,139,138,136
60,116,136,106,118,117,,114,107,117,144,162,122
