Min,icv vehicle,,,,,,,icv FGF1 (3 ?g),,,,,,
-10,2.1,1.4,1.6,1.3,1.1,1.4,2.2,1.3,1.2,1.1,0.9,1,1.5,1
0,1.7,1.7,1.4,1.3,1.2,1.2,2.4,1.3,0.9,1.1,0.6,0.9,1.7,1.9
1,1.7,1.4,1.4,1.6,1.4,1.3,2,1.3,1,1.4,0.7,1.2,2.5,1.2
2,1.7,1.5,1.5,1.7,1.6,1.3,2.1,1.7,1.2,1.8,0.9,1.5,2.6,1.3
3,1.9,1.5,1.6,1.9,2,1.4,2.1,1.8,1.5,2.1,1,1.7,2.7,1.5
4,2,1.4,1.7,2.1,2.1,1.5,2.1,2,1.5,2.1,1.1,2,2.9,1.6
5,2,1.5,1.8,2.4,2.1,1.5,2.2,2.2,1.8,2.7,1.3,2.3,3,1.7
6,2,1.5,1.9,2.5,2.3,1.6,2.2,2.4,2,2.8,1.4,2.5,3,1.9
8,1.9,1.5,2.3,2.8,3.2,1.8,2.3,2.6,2.1,3.2,1.6,2.6,2.9,1.7
10,2.1,1.6,2.2,3.2,2.8,1.9,2.9,3.1,2.4,3.4,2,3.2,3.2,2.1
12,2.3,1.5,2.2,3.5,2.6,1.6,2.7,3.1,2.4,3.4,2,3.3,3.1,2.3
14,2.4,1.5,2.5,3.7,2.6,1.8,2.7,3,2.8,3.2,2.1,3.7,3.3,2.4
16,2.5,1.6,2.4,3.7,2.6,1.6,2.6,2.8,2.9,3.4,2.6,3.8,3.5,2.3
18,2.3,1.5,2.2,3.9,2.3,1.6,2.6,2.7,2.8,3,2.6,4.2,3.3,2.5
20,2.4,1.4,2.2,3.7,2.1,1.5,2.5,2.8,2.9,3,2.5,4.1,3.3,3
25,2.1,1.3,2.2,3.7,2.2,1.4,2.4,3.3,2.9,2.7,2.7,4,3,2.5
30,2.1,1.3,2.2,3.5,2.1,1.3,2.5,3.3,3.4,2.6,2.5,3.8,2.7,1.9
40,2.3,1.3,2.3,3,2.1,2.2,2.4,2.8,3,2,2.8,3.3,2.6,2.2
50,2.6,1.4,2.3,2.4,2.4,1.3,2.3,2.4,2.7,1.6,2,2.4,2.5,2.2
60,2.8,1.5,2.1,2.1,2.4,1.4,3,2.2,2.3,1.6,2.2,1.9,1.9,2.5
